id,role,type,description,size/ratio,style line ref,source
keyart_title,title screen,composite,"Start-screen composition assembled from approved Echo tram plaza green-mark Bond and violet-stitch masters; one primary Play action",1280x720,STYLE_FORMULA_v1,in-engine composite only; no independent generation
plaza_master,environment master,image,"Registered Gate Plaza master containing skyline rail curve closing switch formation floor council dais forge brake route maintenance case and westward Gear Forest canopy; no characters",2048x1152,STYLE_FORMULA_v1,gpt_image_2 high 2K master
plaza_far,environment layer,image,"Skyline closing east switch civic towers and Gear Forest canopy extracted and cleaned from plaza_master",2048x1152 transparent,STYLE_FORMULA_v1,registered derivative of plaza_master
plaza_mid,environment layer,image,"Formation floor council dais forge and brake route extracted and cleaned from plaza_master",2048x1152 transparent,STYLE_FORMULA_v1,registered derivative of plaza_master
plaza_fore,environment layer,image,"Foreground rail maintenance case coupling machinery and steam masks extracted and cleaned from plaza_master",2048x1152 transparent,STYLE_FORMULA_v1,registered derivative of plaza_master
gear_forest_far,environment state,image,"Westward metal canopy state derived from plaza_master for the violet-trail coda; no characters",2048x1152 crop,STYLE_FORMULA_v1,registered derivative of plaza_master
public_audience_master,environment dressing,image,"Registered low-detail council observers crowd silhouettes and civic camera rigs for the public unmasking; no hero lookalikes or individually featured civilians",2048x1024 transparent,STYLE_FORMULA_v1,gpt_image_2 high 2K master
public_audience_unmask,environment state,rig state,"Council observers and crowd turn while civic cameras swivel toward Echo's feet-upward unmasking; Reya and Guardians remain separate character rigs",1280x720 composition,STYLE_FORMULA_v1,registered derivative of public_audience_master plus echo_rig reya_rig blaze_rig bolt_rig sunny_rig and lulu_rig
formation_floor,story system,procedural,"Four occupied role marks around an empty fifth socket plus one loose green mark; texture shape position and light distinguish every role without color",responsive,STYLE_FORMULA_v1,SVG/CSS driven by story state
roster_seal,story state,procedural,"First council chime closes light around exactly four official marks while the empty fifth socket goes visibly dark",responsive,STYLE_FORMULA_v1,SVG/CSS driven by story state
launch_clamp,story prop,image,"Ordinary loose launch-rail clamp shown rattling and then physically tightened by camouflaged Echo; not a Bond or lambda object",1:1,STYLE_FORMULA_v1,gpt_image_2
clamp_tool,story prop,image,"Ordinary non-computational tightening tool visibly held by camouflaged Echo; no rune Bond or pack styling",512x512 transparent,STYLE_FORMULA_v1,gpt_image_2 with launch_clamp reference
launch_override,world object,image,"Public launch Gate and tram override with complete Blaze Speed Pack input cradle and a visible route through the machine",16:9,STYLE_FORMULA_v1,gpt_image_2
east_brake,world object,image,"Existing large east-rail brake with physical lever sized for Blaze's exoframe to pull; transparent background",1:1,STYLE_FORMULA_v1,gpt_image_2
east_switch,world object,rig state,"Closing east switch with open closing and caught states visible in Blaze far-sight composition",1024x1024 transparent,STYLE_FORMULA_v1,registered derivative of plaza_master
trial_reserve_rig,story prop,image,"Trial recorder four council lamps reserve cable and registered mounting sockets for the separate captain_marker and forge_rig power inlet; no baked duplicate marker or forge",2048x1024 transparent,STYLE_FORMULA_v1,gpt_image_2 high 2K master
forge_rig,world object,rig,"Registered rescue forge with small-pack ready cradle large Navigation Kit sleeping clamp separate wake-up ring reserve-power inlet and source-empty states",2048x1024 transparent,STYLE_FORMULA_v1,gpt_image_2 high 2K master plus procedural state overlays
reserve_cable_cut,story animation,procedural,"Echo pulls the glowing rescue cable while Blaze releases it; council lamps and captain marker go dark-for-now as forge power wakes",responsive,STYLE_FORMULA_v1,in-engine character posing cord simulation and light-state change
tram_master,world master,provider plate plus local rig,"Registered three-car sky-tram side rig with separate cars rear window door brake contact and still-connected multi-bolt middle coupling",3072x1024 transparent local rig,STYLE_FORMULA_v1,gpt_image_2 high 2K 16:9 master plate plus manual separation and registration
tram_intact,world state,rig state,"All three registered tram cars aligned with intact middle coupling and rear window visible",3072x1024 transparent,STYLE_FORMULA_v1,tram_master rig state
tram_runaway,world state,rig state,"Same registered tram rig banked on curve with rear car yawed and coupling still connected",3072x1024 transparent,STYLE_FORMULA_v1,tram_master rig state
tram_braked,world state,rig state,"Same registered tram rig with front car caught by east brake force moving backward and rear coupling connected",3072x1024 transparent,STYLE_FORMULA_v1,tram_master rig state
coupling_failing,world state,rig state,"Same registered coupling after exactly two bolts shear; metal folds and a separately layered steam burst exposes the next danger",1280x720 composition,STYLE_FORMULA_v1,tram_master rig state
coupling_braced,world state,image,"Two complete shell drones and their rigid PAIR harness physically hold the still-connected coupling",16:9,STYLE_FORMULA_v1,in-engine assembly from tram and shell_pair_form
tram_one_clamp_left,world state,rig state,"Registered rear car held on left rail and visibly twisted around that one clamp; persistent PAIR crossbar and world signage unchanged",1280x720 composition,STYLE_FORMULA_v1,tram_master plus registered navigation rigs
tram_one_clamp_right,world state,rig state,"Separately authored registered right-first state; rear car twists around right clamp while PAIR signage lighting and UI orientation remain world-correct",1280x720 composition,STYLE_FORMULA_v1,tram_master plus registered navigation rigs; never mirrored
tram_two_clamps,world state,rig state,"Same registered rear car straight with both clamps and persistent PAIR crossbar; door remains closed until rescue state",1280x720 composition,STYLE_FORMULA_v1,tram_master plus registered navigation rigs
