2 | BRANDT | Switching to channel two. [pause] Let's talk this over privately, gentlemen.
4 | CRICKET | [flatly] We'll talk right here. Whole world's listening anyway.
6 | BRANDT | [deliberate] All right. On the record, then. Who are you, and who sent you up here.
8 | CRICKET | [flatly] We're the backup crew. NASA never processed us out. We're still on the roster, son. This is our mission.
10 | LINDQVIST | Where did you even COME from?
12 | STITCH | [flatly] We came in the mail.
14 | STITCH | [tired] This here's our camp. Pack the fuck off.
16 | LAWYER #1 | [deliberate] I just want the one piece of paper that takes them off the Moon. Somebody go find me that.
18 | LAWYER #2 | [deliberate] It's been signed off every quarter since 1972, by career staff, under four statutes. He's not a trespasser. As far as the United States government is concerned, that man is federal personnel standing on his duty station.
20 | LAWYER #1 | (reading) [deliberate] Dawes, E. Astronaut, active. And the whole pay column's zeros, every quarter, back fifty years.
21 | LAWYER #1 | (then) [deliberate] Then send somebody up there and remove them.
22 | LAWYER #2 | [deliberate] Who? The only Americans on the Moon are the ones you want removed.
25 | LAWYER #2 | [deliberate] And sir, the President offered him the wings on a recorded line Tuesday. We can't call him a fraud without calling the President one.
27 | BRANDT | (into radio) Shen. [short pause] Leave it.
30 | GUNNY | (into radio) [deliberate] That's the colors, son. You'll stop right there.
35 | BRANDT | (into radio) Harmony copies. [pause] Control, Harmony requests instructions.
