2 | ANCHOR | (close) [excited] There it is. The entire board, red to blue, and it turned over in one second.
4 | ANCHOR | (close) They're coming down on us right now, and I'll be honest with you, I'm not going to sit here and pretend I'm above it.
5 | ANCHOR | (close) I want to come to the desk on what we're all watching tonight.
7 | COMMENTATOR | (close) [sighs] Just give me, give me a second here. It's a reconciliation. With a whole world the last administration spent years insulting, [swallows] and tonight that world is watching us come back to the table.
8 | ANCHOR | (close) [excited] We're going to take you live into the hall.
11 | ANNOUNCER | (pa) Ladies and gentlemen, [pause] the President of the United States.
13 | MARWANI | (pa) [warmly] Thank you. Thank you, all of you.
14 | MARWANI | (then) [deliberate] I do not stand here to celebrate a victory. I stand here to begin a repair.
15 | MARWANI | (then) [slowly] On behalf of the United States, to every nation we have wronged, we are sorry.
16 | MARWANI | (then) [deliberate] This is not retreat. This is not surrender. This is repair.
19 | ANCHOR | (close) [excited] Just in from Oslo. The committee has awarded the Peace Prize, and they're citing the announced agenda.
22 | ANCHOR | (close) And below us here, pallets of banded hundreds. The manifest reads Iran Compensation Framework, disbursement one of twelve.
26 | ANCHOR | (close) [excited] Two hundred billion dollars, pledged here tonight to European defense renewal.
27 | ANCHOR | (then) And just in, the White House unveils the Stewardship Act. Private assets above one billion dollars, administered in the public interest.
30 | HALE | (dry) [flatly] Frontier is proud to serve the goals of this administration, at home and beyond it.
31 | SENATOR | (close) [deliberate] No one man ought to own the only road off this planet. Public money paid for most of that road already, one way or the other. So it goes into public hands, and you can call it nationalization if you like, because that's what it is.
36 | RADIO | (radio) ...under the carbon framework the sale, use, and private storage of consumer fireworks is prohibited nationwide, effective the first of the month.
38 | RADIO | (radio) The framework further provides that existing consumer stock be surrendered to a licensed collection point on or before that date, and that any...
39 | BUCK | (close) [flatly] Huh.
