0	KUKU	[playfully] भौं भौं! देखो, ये मेरे कान हैं. मैं कुत्ता हूँ. अभी तो मैं खेल-खेल में कुत्ता हूँ, [wistfully] पर मुझे एक अपना सच्चा कुत्ता चाहिए. [excited] देखो, मैंने काला कुत्ता बनाया है. [pleading] पापा, पापा, देखो वो काला कुत्ता. आप एक कुत्ता मेरे लिए घर ले आओ ना.
1	MUKHIYA	[briskly] पापा, काम रुका है. जल्दी आ जाओ.
2	PAPA	[warmly] अच्छा बनाया है, बेटा. [gently] पर नहीं, कुकु. कुत्ता पालना बहुत काम है, और तुम अभी छोटे हो.
3	KUKU	[whispers] [sad] कोई बात नहीं. तू मेरा है.
4	RADIO	[cheerfully] सुप्रभात, अक्षर घाटी. आज आसमान बिलकुल साफ़ है, धूप निकल आई है.
5	DADI MAYA	[cheerfully] आओ बच्चों, जल्दी आओ. आज हमारे पास एक बिलकुल नया अक्षर है.
6	FURIA	[excited] मैं पहले! देखा, मैं सबसे पहले आई!
7	KUKU	[eagerly] मैं भी आ गया, देखो. मेरे लिए जगह है यहाँ?
8	DADI MAYA	सब बैठ गए? [warmly] अच्छा, बहुत अच्छा. [brightly] आज का अक्षर है क. बोलो मेरे साथ. क.
9	KUKU	[excited] क!
10	FURIA	[confidently] अरे रुको! ये तो मेरा अक्षर है, मेरे नाम वाला. मैं तो इसको पहले से जानती हूँ!
11	DADI MAYA	[gently] ज़रा पास आकर देख तो, फूरिया. इसने ऊपर एक टोपी पहनी है.
12	FURIA	[puzzled] टोपी?
13	DADI MAYA	[warmly] हाँ बेटा. हिंदी का हर अक्षर टोपी पहनता है. तेरे वाले के ऊपर टोपी नहीं है. इसके ऊपर है, देख. हवा में मेरे साथ बनाओ. ऊपर एक सीधी लकीर खींचो, ये रही टोपी.
14	FURIA	[whispers] [sheepishly] मैंने तो पहले ही देख ली थी, सच में.
15	DADI MAYA	[warmly] वैस्पर, बता तो, आज का अक्षर कौन सा है? [calling out] वैस्पर?
16	FURIA	[urgently] वैस्पर! दादी तुझे बुला रही है.
17	VESPER	[dreamily] वो बादल... देखो, it looks like a big कान.
18	FURIA	[exasperated] हिंदी में, वैस्पर!
19	VESPER	[dreamily] वो बादल एक बड़े कान जैसा दिख रहा है.
20	DADI MAYA	[warmly] बहुत सुंदर देखा तूने. और अब बता, आज का अक्षर कौन सा है?
21	VESPER	[softly] क.
22	DADI MAYA	[proudly] शाबाश, वैस्पर. क. [encouraging] अब सब अपने कान खोलो. आज पूरे दिन हर जगह क ढूँढो.
23	FURIA	[excitedly] मैं सबसे ज़्यादा और सबसे तेज़ क ढूँढूँगी!
24	FURIA	[excited] मैंने कौआ ढूँढ लिया! कौआ भी तो क से है. मैं आगे हूँ.
25	KUKU	[excited] और कमल भी! वो पानी वाला कमल भी तो क से है ना?
26	RADIO	[wistfully] ओ बालमवा, तू कहाँ रह गया, मैं दीया जलाए तेरी राह तकूँ...
27	FURIA	[calling out] वैस्पर, जल्दी चल. तू फिर पीछे रह गया.
28	KUKU	[curious] वैस्पर? तूने कोई क वाला शब्द ढूँढा क्या?
29	FURIA	[calling out] वैस्पर!
30	VESPER	[with concern] वहाँ... कोई रो रहा है.
31	FURIA	[excited] कहाँ? मैं पहले!
32	FURIA	[whispers] [gently] अरे, तू यहाँ कीचड़ में फँस गया. मैं हूँ ना, रुक.
