4 | MARWANI | There you are. [warmly] No, don't get up, please, you came all this way for us.
5 | MARWANI | (then) [chuckles] How's the boy. He still building the little ones out of soup cans?
8 | MARWANI | Thank you. Everybody, sit down, please. I'll keep it short. [chuckles] I always say that and I never do it, so.
9 | MARWANI | (then) Tonight a rocket rises with no flag on its side. [pause] Think of that. Not conquest. Not pride. Repair.
14 | FLIGHT DIRECTOR | All stations, we're inside two minutes. [pause] Give me a go or a no-go for launch.
15 | CONTROLLER | [flatly] Fuel's good here, we're go.
16 | CONTROLLER | [flatly] Guidance is go.
17 | CONTROLLER | Range is go, you're clear.
21 | CRICKET | [quietly] Straps tight. Card's set.
22 | CRICKET | (then) Hum's up. [pause] Right on the minute.
26 | MARWANI | (into mic) [excited] Look at her. Years from now you'll tell them you stood here the night we sent one up clean, nothing painted on her, nothing to—
28 | ANCHOR | Good climb, straight up the range, everything looking nominal on the ascent.
29 | ANCHOR | (then) We're seeing something come off the vehicle now, [pause] the outer skin is peeling back along the whole body, stand by.
30 | ANCHOR | (then) There's color under the white now. Red, white and blue. That's... [pause] folks, that's our flag on the side of her.
35 | BUCK | [slowly] There she goes here in a minute. Ours. Whatever it is they got riding her.
40 | CRICKET | (strained) There's the weight. [breathes] Holding good.
45 | GROUND CREW | Booster's down and safe on the legs, pad one.
50 | CRICKET | (low) [quietly] Engine's out. We're floating now. That's orbit.
53 | CRICKET | (low) [quietly] Earth's out the window.
