contract id,assets covered,master/dependency,final runtime specification,pivot/hitbox/timing,status,rights/do-not-ship,billable ceiling before new approval,acceptance test
C01,"plaza_master","STYLE_FORMULA_v1","2048x1152 lossless master; no characters; one registered lighting direction and 1280x720 camera crop","stage origin 0,0; three parallax extractions keep identical registration",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence",14 Higgsfield credits maximum: one GPT Image 2 high 2K request plus one retry,"all three layers recomposite pixel-aligned; no seam or scale drift at 1280x720 and 1366x768"
C02,"plaza_far; plaza_mid; plaza_fore; gear_forest_far","plaza_master hash","transparent WebP/PNG registered derivatives; no independent regeneration","same stage origin and crop; no hitbox",blocked on C01,"local derivatives inherit rights only from verified plaza_master ledger entry; no ship before evidence",0,"recomposition matches approved master; grayscale hierarchy keeps interactive midground dominant"
C03,"echo_master; echo_rig; echo_camouflage; blaze_master; blaze_rig; bolt_master; bolt_rig; sunny_master; sunny_rig; lulu_master; lulu_rig; reya_master; reya_rig; tavi_master; tavi_rig","STYLE_FORMULA_v1 and fixed scale chart","2048x2048 orthographic/expression master per character with transparent cleanup plus manually separated registered runtime atlas/rig; camouflage is an Echo-rig material derivative","feet and local part pivots declared; padded 96 px; character rigs noninteractive",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; local rig lineage in local-build evidence; no ship before evidence",14 Higgsfield credits per master maximum: one GPT Image 2 high 2K request plus one retry,"each runtime part traces to one approved master; front side rear identity match; silhouettes readable at 96 px high; no literal age coding or noncanonical power"
C04,"cast_scale_lineup","all approved C03 master hashes","2048x1152 in-engine composite only","shared floor line and 1.0 G ruler",blocked on C03,"local composite inherits rights only from verified character masters and local-build ledger; no ship before evidence",0,"every figure matches its approved master and fixed scale within 2 percent"
C05,"knot_threader; knot_observer","STYLE_FORMULA_v1; species and final form unfixed","2048x2048 Threader/hand master plus registered observer crop; transparent cleanup","hand/tool pivot declared after approval; no gameplay hitbox",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence; never infer protected design",14 Higgsfield credits maximum for shared master plus one retry,"six handle spools visible; spool 1 state readable; no face species or complete costume revealed"
C06,"tram_master","STYLE_FORMULA_v1 and 1.0 G scale chart","one raw 16:9 high-2K provider master plate followed by a locally authored 3072x1024 transparent separated rig: three cars doors windows brake contact coupling body and individual bolts","front-car rail pivot; each car local pivot; coupling joint and bolt anchors declared",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; raw plate and local separation/registration lineage required; no ship before evidence",14 Higgsfield credits maximum outside Batch 01: one GPT Image 2 high 2K request plus one retry; Batch 01 zero-retry rule overrides,"provider plate never claimed as native 3072/alpha; three cars register across every state; rear door and coupling articulate without repainting"
C07,"tram_intact; tram_runaway; tram_braked; coupling_failing; coupling_braced; tram_one_clamp_left; tram_one_clamp_right; tram_two_clamps; tram_rescue_state","tram_master; shell/navigation rig hashes; sunny_rig; tavi_rig","1280x720 in-engine rig states from identical geometry; transparent steam/effect layers; rescue state instantiates approved Sunny/Tavi rigs","same world coordinates; door opens only in rescue; holds >=2 s where required",blocked on masters,"local runtime states inherit rights only from verified masters and local-build ledger; no ship before evidence",0,"pixel registration preserved; two bolts shear and coupling remains connected; right-first state is authored not mirrored; no state erases PAIR; no baked duplicate characters"
C08,"formation_floor; roster_seal; green_formation_mark; captain_marker; conditional_token; record_lock","STYLE_FORMULA_v1; exact story state","SVG or 512 px transparent prop masters; texture/shape/position redundant with color","minimum 80 px hit region only where interactive; seal transition 2 s",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; local SVG rights recorded separately; no ship before evidence",28 Higgsfield credits maximum across two prop-sheet requests and two retries,"four marks seal; fifth dims; green mark and token never merge; captain marker reads suspended not permanently erased"
C09,"launch_clamp; clamp_tool; echo_clamp_repair; launch_override; east_brake; east_switch; forge_rig","plaza_master; tram_master; echo_rig; STYLE_FORMULA_v1","1024 px transparent prop rigs or registered plaza derivatives; forge 2048x1024 separated rig","clamp target >=80x80 CSS; press reduces wobble within 250 ms; brake lever pivot physical; switch and forge states registered",planned; user style approval pending,"provider-output rights pending verification in rights-ledger.csv; no ship before evidence",42 Higgsfield credits maximum across three requests and three retries,"player never hides Echo and never tightens clamp; ordinary clamp/tool never resemble Bond; east brake and forge remain registered across states"
C10,"sabotage_conduit; bond_overlay; plaza_sampler","launch_override; knot_threader; speed_equipment_master; exact E0/E1 states","four registered 1280x720 temporal states plus procedural braid/stitch overlays","Bond endpoints exact; sampler never interactive; edit completes before pack docking; imprint appears only post-Blaze-Deploy",blocked on C05/C09/C11,"local registered runtime states; rights lineage inherited from verified masters in rights-ledger.csv",0,"fixed guidance never moves; one complete Bond moves; abandoned role caps; loose violet tail persists; prelaunch has no imprint; post-Blaze-Deploy imprint persists"
