id,role,type,description,size/ratio,style line ref,source
style_formula_v1,locks the complete visual system,style_reference,"Dimensional 3D papercraft storybook art built from layered matte construction paper, visible cut edges, folded facets, and soft fiber texture. Characters use rounded child-friendly dragon silhouettes with no ink outlines; interface pieces are thick paper cards. Valley scenery uses fresh greens and cool stone, the five dragons keep bright green/crimson/sky-blue/golden/pink roles, and correct letters glow warm gold. Soft daylight, cozy adventurous mood, strong separation, clean readable shapes, consistent flat-frontal game-board perspective.",n/a,self,reference_media[0]
paper_valley_board,main responsive playfield,procedural_visual,layered paper valley courtyard with mountains clouds and a warm stone lesson mat,responsive 16:9,style_formula_v1,reference_media[0]
kuku_guide,presents letter questions and breathes the earned letter,bitmap_portrait,canonical bright-green child Kuku framed as a cream paper portrait card,400x536,style_formula_v1,existing charsheets/small_kuku.png copied to assets/characters-v1/kuku.png
furia_guide,presents whole-word questions,bitmap_portrait,canonical crimson Furia framed as a cream paper portrait card,400x536,style_formula_v1,existing charsheets/small_furia.png copied to assets/characters-v1/furia.png
vesper_guide,presents picture and first-sound questions,bitmap_portrait,canonical sky-blue Vesper framed as a cream paper portrait card,400x536,style_formula_v1,existing charsheets/small_vesper.png copied to assets/characters-v1/vesper.png
letter_cards,three large tap targets per question,procedural_ui,thick cream paper cards carrying verified browser-rendered Devanagari glyphs,minimum 104 px tap target,style_formula_v1,reference_media[0]
word_picture_tokens,connects spoken words to familiar concrete meanings,image_atlas,original text-free early-reader illustrations for ear fish roti tap kite parrot mango spoon goat cow nose and star,4:3 atlas with 4x3 cells,style_formula_v1,generated original asset illustrations-v2/primer-atlas.png
gold_letter_breath,immediate correct-answer reward,procedural_visual,warm golden paper letter and six batched star scraps moving toward the bracelet,1:1 overlay,style_formula_v1,reference_media[0]
progress_bracelet,persistent mastery and session progress,procedural_ui,golden paper bracelet with ten empty or lit letter jewels,wide strip,style_formula_v1,reference_media[0]
tap_sound,immediate input receipt,procedural_audio,very short soft paper tap synthesized with browser Web Audio,under 0.08 s,style_formula_v1,reference_media[0]
correct_sound,positive answer feedback,procedural_audio,two-note warm bell synthesized with browser Web Audio at safe volume,under 0.5 s,style_formula_v1,reference_media[0]
retry_sound,gentle incorrect-answer feedback,procedural_audio,low soft wooden knock synthesized with browser Web Audio at safe volume,under 0.3 s,style_formula_v1,reference_media[0]
hindi_prompt_voice,repeats the current sound or word on demand,bundled_audio,22 versioned native Hindi MP3 clips reused across 25 deterministic prompts with browser speech only as a load-failure fallback,under 1.3 s each,style_formula_v1,existing Akshar Hindi audio library
