15	FROSYA	[delighted] Цветные! И красный есть!
17	FROSYA	[hugging, joyful] Спасибо, мам! Я всё-всё нарисую!
21	FROSYA	[squealing with delight] Бабушка!
30	FROSYA	[blurting in one breath] Хочу такую же машинку, как мы сегодня видели, чтобы она сама ездила и фары у неё по-настоящему светились!
31	VASYA	[jumping up, rushed] А я хочу превращаться в кого захочу — хоть в динозавра, хоть в дракона!
48	FROSYA	[flaring up] Но я-то все буквы знаю!
51	FROSYA	[gloomy then fierce] Восемь букв… Тогда учи быстрее! Каждый день по букве — нет, по две!
56	VASYA	[recoiling, disgusted] Фу-у-у! Овощи!
60	VASYA	[impatient] А я? Я тоже хочу! Мне слово! Лёгкое!
73	VASYA	[jumping] Дай мне тоже прокатиться!
86	FROSYA	[screaming] Вася! Не смей! Я маме скажу!
92	FROSYA	[horrified] Я не хочу обратно в шесть!
105	VASYA	[proud, breathless] Я обвязал. Сам. Тройным узлом!
107	FROSYA	[quickly] Мы всё починили!
110	PAPA	[celebrating, loudest] Ура!
