43	MAMA	[calm, no argument] Фрося, положи карандаш на крышку. Вася, руку рядом.
44	MAMA	[even, laying down the rule] Какие буквы я вам выдам, только из тех волшебные слова и получатся.
45	MAMA	[pointing] Назови.
46	VASYA	[confident, one at a time] А. О. М. С. К. Т. Л. Б.
47	MAMA	[approving] Эти восемь букв ты уже знаешь. А дальше я буду давать вам по одной новой. Выучишь её — получите следующую.
48	FROSYA	[flaring up] Но я-то все буквы знаю!
49	MAMA	[unruffled] Знаешь. А брат твой пока знает восемь.
50	VASYA	[proud] Это мои.
51	FROSYA	[gloomy then fierce] Восемь букв… Тогда учи быстрее! Каждый день по букве — нет, по две!
52	FROSYA	[bossy, brisk] Так. Пробуем. Что можно написать? С-О-К. СОК!
53	FROSYA	[grand, gracious] Сока хочешь?
54	VASYA	[amazed] Ты теперь всегда так можешь?!
55	FROSYA	[brisk] С-А-Л-А-Т. СА-ЛА́Т!	# display: САЛАТ
56	VASYA	[recoiling, disgusted] Фу-у-у! Овощи!
57	FROSYA	[giggling] М-А-К. МАК!
58	FROSYA	[suddenly shy] Мам, это тебе.
59	MAMA	[softly moved] Ох… Спасибо, доченька.
60	VASYA	[impatient] А я? Я тоже хочу! Мне слово! Лёгкое!
61	FROSYA	[nodding at the tiles] Ну собери сам. Ты же читать будешь.
62	VASYA	[sounding out, then joyful] МА… МА. МАМА! ВЖУХ!
63	VASYA	[panicking, in Vasya's voice] Ай! Фрося! Они меня едят! Почему они меня едят?!
64	VASYA	[miserable] Я не мама! Я Вася! Снимите их с меня-а-а!
65	MAMA	[dry] Брови-то твои, Вася.
66	VASYA	[offended, full volume] ВЖУХ!
67	FROSYA	[under her breath, sorting] М-А-Ш-И-Н-А… Ш нет. И нет. Н нет.
68	FROSYA	[quiet] Трёх букв не хватает.
69	VASYA	[puzzled] И что теперь?
70	FROSYA	[fervent] Ты их выучишь — я напишу машину. Договор?
71	VASYA	[agreeing, not quite understanding] Договор.
72	FROSYA	[inspired] С-А-М-О-К-А-Т. СА-МА-КА́Т!	# display: САМОКАТ
73	VASYA	[jumping] Дай мне тоже прокатиться!
74	FROSYA	[happy, grabbing the handlebars] Сначала я! Один круг — и тебе.
