01	VASYA	[panting] А почему великаны всё время носки теряют?
02	FROSYA	[busy, catching breath] Потому что не считают. У меня всё посчитано. Доставай крючок.
03	FROSYA	[quiet, worried] Вась?
04	VASYA	[muffled, deadpan] Носок на месте.
05	VASYA	[dusting off, puzzled] А почему мы кладём на место?
06	FROSYA	[shrugging, matter-of-fact] Так дом устроен.
07	VASYA	[spellbound whisper] Ух ты! Она сама едет!
08	FROSYA	[excited whisper] Смотри, какая классная, у неё даже фары по-настоящему светятся! Вот бы мне такую…
09	GIANT	[surprised, from far away] Ой, куда она заехала?
10	FROSYA	[sharp whisper] Назад!
11	PAPA	[warm, barely containing a smile] Фрося, иди сюда. С днём рождения, доченька. Смотри, что я для тебя сделал.
12	FROSYA	[sincere, delighted] Пап! Вот это ю-ЛА́! Какая красота! Спасибо!	# display: юла
13	PAPA	[pleased, hearty] Забирайтесь оба. Сейчас закручу!
14	MAMA	[warm, tender] А это я для тебя весь год собирала.
15	FROSYA	[delighted] Цветные! И красный есть!
16	MAMA	[warm] Для всех твоих рисунков.
17	FROSYA	[hugging, joyful] Спасибо, мам! Я всё-всё нарисую!
