5 | MACK | (reading) Rotary banners, a ball trophy. Tagged, lot one twelve.
8 | MACK | (reading) [deliberate] Lot one fourteen. Degraded textile artifacts, non-flight-rated, sold as scrap.
9 | MACK | (then) That's the whole thing, one line. [pause] Hundred and forty for all four, and I had to take the chairs and a dishwasher along with it to get 'em.
14 | GUARD | (off) [flatly] Yeah. Yeah, that's your scrap lot, go on ahead.
15 | MACK | 'Preciate it.
19 | STITCH | (to Gunny) There, that's the new line clamped in her, Gunny.
23 | STITCH | (close) [quietly] Hear that? Get your ear down close. That little fizz, that's air sneaking out where it don't belong. [pause] That's a leak.
26 | STITCH | (dry) [quietly] …And that's none. She quit on us. That one's holding now.
28 | STITCH | This one's got a worn spot down on the knee here. Cut the patch a little big and work it down flat.
31 | GUNNY | (to Stitch) [deliberate] Gloves go on last. Nobody sets a coffee cup on this bench till these are back in the box, you hear.
32 | STITCH | (not looking up) [dry] You've wiped that same glove down what, four times now, Gunny.
33 | GUNNY | [flatly] I'll do it again anyway.
35 | MACK | Paper says four textile artifacts, non-flight-rated. That's all that's on it.
36 | STITCH | Fifty years old, every one of 'em, Mack, and they'll hold air by Sunday.
