2 | PELL | [warmly] Mira. Thanks for staying, I know it's late and everyone's worn out.
3 | PELL | (then) Walk me down to the room, we'll send the recall up together, and this turns into a good night for everybody.
5 | VESS | [flatly] There is no override. The ship answers its crew.
6 | PELL | Everybody comes home tonight. [pause] That's the whole idea here.
7 | VESS | [deliberate] You built the compliance regime, Administrator. Nothing at this company moves without a signature. You know that better than anyone.
9 | VESS | That's the cargo. Somebody weighed it over a second time and signed off, and the note in the margin there is your hand.
11 | VESS | [flatly] Site inspection log. Reads exceeds requirement, and that's your signature under it.
13 | VESS | And the tag off the crate itself. [pause] Stamped inspected, signed J. Pell, with a photo still clipped to the corner.
15 | PELL | [hesitates] You scheduled—
18 | VESS | [deliberate] Take it public, Administrator. All of it. Walk them through the program you ran, the cargo you certified, the shop you praised. Somebody's name ends up in the story. Count the signatures and tell me whose.
20 | VESS | You wanted the company to cooperate. The company cooperated. [pause] The country didn't.
