3 | STITCH | [curious] You ever heard of Sky King?
4 | CRICKET | [flatly] Can't say I have.
6 | STITCH | Fella up in Washington. Worked the airport, loaded the bags on and off the planes, that was the whole of his job. [pause] Never flew a one of 'em. Wasn't a pilot, wasn't studyin' to be, none of that.
8 | STITCH | Had one of them computer things at his kitchen table. The flyin' game, you know the kind. And he'd sit there of an evening and fly it. [pause] Years, I heard. Just at the table, after the kids or whoever, I don't know his whole business.
10 | CRICKET | [quietly] Then what happened.
11 | STITCH | [slowly] Well, one mornin' he just walked on out there. Weren't nobody on the plane, mind, empty, a big ol' airliner. And he got in it and he took it up.
12 | STITCH | (then) Got her up over the mountains and rolled her clean around. [pause] The whole way over. Like you'd do a little one, and this a airliner, and him never flew a day.
14 | STITCH | They sent the fighter jets up after him, quick as they could, to box him in and get him down. Two of 'em, I think, come up alongside.
16 | STITCH | [quietly] He just waved at 'em.
18 | CRICKET | [quietly] What happened to him.
19 | STITCH | [flatly] Never flew again, of course.
21 | STITCH | [pause] All right. Let's get them chairs on the truck.
